BFMTV_BFMStory_2012-07-27_175800 167.01 174.576 Olivier_TRUCHOT  28 5 7.566 7.07000000000005 0.360000000000014 0.151515151515152 0.0475812846946886 ce(2) soir ce(2) qu' il faut retenir(2) dans l' actualité Frédéric_De_Lanouvelle(3) bronson à vrai dire il y a plus que(2) quelques(3) heures avant l' ouverture des jeux(2) olympiques 
BFMTV_BFMStory_2012-07-27_175800 1065.96 1084.664 Olivier_TRUCHOT  57 16 18.704 15.7300000000012 2.89999999999986 0.219178082191781 0.155047048759616 vous vous dites en voiture au départ le(2) le(2) le(2) sport moderne a été apportée par les(2) hommes pour les(2) hommes bon c' est vrai que ces thèmes bien changé et aujourd'hui les les les les femmes(2) sportives(2) peuvent devenir des des stars et passionné autant les spectateurs(3) aura des femmes que(2) que(2) que(2) leurs homologues masculins 
BFMTV_BFMStory_2012-07-27_175800 1084.66 1109.053 Fabienne_BROUCARET  103 21 24.393 21.4399999999985 2.92299999999977 0.169354838709677 0.119829459271093 oui on revient(3) de(2) loin de ce que(2) coubertin huit voyez les femmes(2) pour couronner les vainqueurs et c' est tout ça donc est en(2) effet(2) en(2) un siècle(3) et demi(2) on(2) a beaucoup progressé(2) a maintenant(3) faut se rendre compte aussi des conditions d' entraînement(2) quand(2) on voit les footballeuses oui on s' intéresse beaucoup(2) le sahel certaines sont encore amateurs à quand(2) on parle(2) d' autres(2) sportifs de(2) boxe faiseur de(2) nos judokas à y(4) a quand même des gros(2) écart(2) pour les conditions d' entraînement(2) et aussi les conditions de salaires donc on les voit plus(2) mais encore de même 
BFMTV_BFMStory_2012-07-27_175800 1109.06 1115.345 Olivier_TRUCHOT  21 4 6.285 5.48999999999955 0.579999999999927 0.16 0.0922832140015795 les les(2) athlètes les primes que(2) que(2) les les les les sportives ont touché pour avoir aidé des déclare(4) des(2) écarts 
BFMTV_BFMStory_2012-07-27_175800 1115.34 1142.947 Fabienne_BROUCARET  117 20 27.607 24.4599999999994 3.11699999999951 0.145985401459854 0.112906146991687 ca ça je le dis je(2) c' est(3) à dire que là pour tout le monde s' arrête(2) les mêmes(2) primes(2) a donc on soient connus pas connu dans(2) un sport médiatisé non comme femme(2) tout homme qui sera(2) la même(3) chose(2) c' est la première année aussi que les paralympiques toucheront la même(3) chose donc à la à liège(2) c' est vraiment une exception(4) mais serait(2) donc dans beaucoup d' autres(2) sports a tout(2) au long de l' année à les revenus(3) ne(2) sont pas les mêmes le(2) football on(2) est(3) un(2) exemple(3) très flagrant mais on peut aussi parler(2) à la dure publier(2) le tennis(2) ordre(2) tournois du grand chelem(3) un voilà y(5) a beaucoup 
BFMTV_BFMStory_2012-07-27_175800 1142.95 1169.932 Olivier_TRUCHOT  92 18 26.982 23.8799999999992 2.88999999999987 0.163636363636364 0.107108442665476 football finale qui a déjà démarré(2) puisque(2) malheureusement(3) les les français(2) ont déjà perdu mercredi mais bon c' est pas terminée je voudrais qu' on(2) évoque(4) ensemble(2) le(2) cas de(2) cette(2) judokas venus d' arabie saoudite qui crée peut(2) être malgré elle(2) la polémique(2) parce que(2) de devra enlever(2) son foulard islamique pour participer aux(2) épreuves(3) c' est ce que(2) ce que dit la la fédération(3) internationale du judo le(2) problème c' est que(2) son pays(3) l' arabie saoudite le autorisés à participer masisi et d' un très strict avec(2) le(2) foulard 
BFMTV_BFMStory_2012-07-27_175800 1170.44 1174.968 Olivier_TRUCHOT  12 3 4.528 3.94799999999964 0.480000000000246 0.2 0.106007067137863 non mixité ont(2) été(2) vaincus également(7) forcément approche pour accompagner l' athlète 
BFMTV_BFMStory_2012-07-27_175800 1174.97 1176.38 Fabienne_BROUCARET  5 2 1.41 0.8599999999999 0.470000000000027 0.285714285714286 0.333333333333353 que cette(3) affaire(3) là on(2) 
BFMTV_BFMStory_2012-07-27_175800 1176.38 1178.298 Olivier_TRUCHOT  8 1 1.918 1.69999999999982 0.200000000000045 0.111111111111111 0.104275286757062 est en raison(2) d' accepter(3) ses conditions nantes 
BFMTV_BFMStory_2012-07-27_175800 1178.3 1208.326 Fabienne_BROUCARET  120 30 30.026 25.0499999999981 4.92000000000007 0.2 0.163857989742226 moi je pense pas parce que(2) le le(2) sport avait valeur c' est la neutralité la religion n' a rien(2) à faire(2) selon moi dans les stades le(2) sport est vraiment un(2) appel à la trêve olympique mkapa politique en théorie(2) il y(5) a pas de religion plus genthial voile mais aussi en(2) effet(2) toutes les tenues et toutes les(2) exigences(4) et à la non mixité font valoir ce(2) soir -là c' est une belle fête(2) y(4) a la cérémonie donc je me(2) demande(3) par exemple ces deux(2) partis ne(2) haddar aviso dit(2) est ce que voit(2) mêlés(2) aux(2) autres(2) est ce qu' elle(3) et comment les(2) hommes et femmes(3) envahissent(2) voilà donc ça pose beaucoup de questions armée vous 
BFMTV_BFMStory_2012-07-27_175800 1203.21 1205.797 Olivier_TRUCHOT  7 3 2.587 1.327 1.25999999999999 0.3 0.487050637804403 et comment les(2) hommes et femmes(3) envahissent(2) 
BFMTV_BFMStory_2012-07-27_175800 1208.32 1209.795 Olivier_TRUCHOT  7 0 1.475 1.47000000000003 0 0 0 voir servir(2) non à l' arabie saoudite 
BFMTV_BFMStory_2012-07-27_175800 1209.8 1235.106 Fabienne_BROUCARET  104 21 25.306 21.9259999999995 3.19999999999959 0.168 0.126452224768813 moi je pense qu' on(2) aurait dû oui me poser les conditions du cio s' est dit respecter(2) la charte olympique simplement comme on le fait depuis un siècle(3) apprécie l' arabie saoudite va envoyer des sportifs les(2) envoie un a selon les les critères(2) que(2) tout mon(2) respect depuis très longtemps à le(2) cio on(2) a choisi autrement a donc c' est vrai qu' on se félicite(3) que(2) tous les pays(3) qu' on a des femmes(4) qui n' était(3) pas le(2) cas auparavant un(2) menée(2) en(2) effet(2) le(2) cio à ce(2) moment n' aura pas de il est ce que(2) j' ai reçu(2) 
BFMTV_BFMStory_2012-07-27_175800 1235.1 1241.042 Olivier_TRUCHOT  24 5 5.942 4.78999999999996 1.07999999999993 0.172413793103448 0.181756984180398 bon là cette judoka on verra si elle participe ou pas aux(2) épreuves(3) de(2) judo mais la fédération dit non(2) au pas de foulard 
BFMTV_BFMStory_2012-07-27_175800 1241.05 1246.761 Fabienne_BROUCARET  28 5 5.711 4.81999999999971 0.849999999999909 0.151515151515152 0.148835580458748 mais les jeux de(2) dangereux(3) quand même pour le(2) le(2) judo portées envoie le(2) transport de(2) combat comme ça c' est c' est le(2) oui tout(2) à fait 
BFMTV_BFMStory_2012-07-27_175800 1246.76 1248.974 Olivier_TRUCHOT  11 3 2.214 1.81999999999994 0.2199999999998 0.214285714285714 0.0993676603431797 oui mais en même temps est ce que(2) c' est par 
BFMTV_BFMStory_2012-07-27_175800 1249.39 1260.532 Olivier_TRUCHOT  39 10 11.142 9.44999999999959 1.57199999999989 0.204081632653061 0.141087775982758 elle(2) la la privé justement de(2) sourire(2) en participant à une épreuve de fils(3) ça fait elle ne sait(2) pas qu' on ne connaît pas(2) et ça fait partie cette culture(2) là toujours connu j' imagine ce(2) foulard ici 
BFMTV_BFMStory_2012-07-27_175800 1260.53 1293.459 Fabienne_BROUCARET  147 25 32.929 28.6989999999962 4.20999999999958 0.145348837209302 0.12785083057486 alors là le cas de l' arabie saoudite est(3) intéressant parce qu' ils(2) en voient pas des femme qui habite à l' arabie saoudite qui ont grandi là-bas le(2) trafic y participer mais a grandi aux états-unis a donc je pense que(2) l' arabie saoudite veut envoyer un message(4) à l' étranger(3) c' est(3) à dire(2) oui on(2) on voit des femmes année concrètement(2) faut sera(2) bec(2) en(2) arabie saoudite les femmes n' ont pas de faire du sport en public à lyon par le roi la compagnie alors s' enfonça de séparer(2) en(2) iran(2) a y(4) a pas du tout dans presque tous pour les femmes les petites(5) filles onction veut promouvoir le(2) sport là-bas je pense que(2) c' est pas la meilleure(3) méthode(3) puisque(2) alors concrètement(2) par exemple et je(2) ne(2) seront pas retransmises à la télé(2) publique en(2) arabie saoudite les gens sont(2) Jude_Law(3) 
BFMTV_BFMStory_2012-07-27_175800 1293.46 1296.394 Olivier_TRUCHOT  11 1 2.934 2.33999999999969 0.470000000000027 0.0833333333333333 0.160190865712347 ma décision a besoin l' arabie saoudite une question(2) d' argent 
BFMTV_BFMStory_2012-07-27_175800 1296.39 1317.013 Fabienne_BROUCARET  80 20 20.623 17.179999999998 3.41299999999978 0.2 0.165494835862861 le le le que le(2) qatar par exemple investi(2) massivement(3) dans le sport il se positionne pour organiser des compétitions(3) importantes que ce soit dans le foot ou pour légion donc ce pour la la décision(2) de la fifa c' est pas forcément(3) une coïncidence en(2) effet(2) que ce(2) soit(2) c' était maintenant(3) alors que(2) la fifa a toujours résisté(2) un après le(2) cio voilà voit le(2) bon côté des choses(2) à ce qu' il y(5) ait l' égalité(2) homme-femme(2) 
BFMTV_BFMStory_2012-07-27_175800 1317.02 1352.001 Olivier_TRUCHOT  114 30 34.981 30.7200000000007 4.22099999999932 0.208333333333333 0.120665504130794 vous restez avec(2) moi fabienne on repart(2) à londres un puisque(2) c' est le(2) fil rouge(2) un bfm stories(2) spécial(2) jeux(2) olympiques ce(2) soir jusqu'à dix-neuf heures nous repartons(3) à londres rejoindre(2) l' autre envoyée spéciale(4) de(2) bfm tv ces Sandra_Boulanger bonsoir sandra on va parler avec(2) vous la cérémonie(4) d' ouverture(3) allant dans ses plus(2) même si bien(2) entendu on va découvrir(2) tout cela à partir de(2) vingt deux(2) heures en français(2) on sait(2) par exemple qu' on voit beaucoup parler y(5) a des racines britannique de(2) l' identité britannique avec ce(2) spectacle s' annonce(2) aux en en en couleurs j' imagine que(2) l' excitation monte maintenant(3) à quelques(3) heures de(2) cette cérémonie 
BFMTV_BFMStory_2012-07-27_175800 1354.55 1401.927 Sandra_BOULANGER  165 28 47.377 42.4299999999996 4.90700000000015 0.145077720207254 0.103573463917094 oui à l' ambiance monte(2) depuis ce(2) matin il y(5) a eu à huit(2) heures douze(2) les cloches de(2) big ben qui ont résonnaient les cloches de(2) big ben qui n' avaient pas raisonner(3) en dehors de(2) leurs(2) horaires habituels depuis mille neuf cent cinquante deux depuis la mort de(2) george(2) six(2) le(2) père de(2) la reine aïe aïe Elizabeth_deux et à la suite de(2) big ben toutes les cloches du pays on raisonnait pendant trois minutes pour lancer cette(3) journée exceptionnelle(5) ces à ces journées d' impôts dix ans(2) après vingt sept ans de(2) préparation pour londres et dans les rues magal la cérémonie(4) ont commencé à avoir des gens avec(2) qui va des tee-shirts avec(2) des casquettes avec(2) des drapeaux c' est que tous(2) les touristes c' est l' enterrement(2) de prendre(2) la direction à des parquets pour assister à la cérémonie(3) sur écran(2) géant(2) coudées peuvent ou ne sera également(3) diffusé les danois pour les plus chanceux dans le(2) stade olympique évidemment(3) 
BFMTV_BFMStory_2012-07-27_175800 1402.91 1404.899 Olivier_TRUCHOT  4 1 1.989 1.14999999999986 0.25 0.2 0.12569130216189 on découvre(4) les spectacles 
BFMTV_BFMStory_2012-07-27_175800 1409.92 1412.138 Sandra_BOULANGER  0 3 2.218 0 1.20799999999986 1 0.544634806131585 
BFMTV_BFMStory_2012-07-27_175800 1442.07 1455.157 Sandra_BOULANGER  48 9 13.087 9.4699999999998 1.41999999999985 0.157894736842105 0.108504622908218 en fait(2) on(2) a rencontré à tout(2) à l' heure un qui n' auraient pas tort rien je ne(2) regrette rien et d' investissements(6) financiers très importants ils(2) ont acheté(2) leur place il y(5) a un(2) an pour mille cinq cents par an c' est(3) à dire le 
BFMTV_BFMStory_2012-07-27_175800 1455.15 1468.351 Olivier_TRUCHOT  35 13 13.201 10.8500000000006 1.79099999999994 0.270833333333333 0.135671540034841 alors je(2) dis(2) on voit des(2) images en direct des londoniens des touristes(2) qui actuellement(3) entre(2) dans ce(2) stade(2) olympique vous avez des(2) infos plus précis(2) sur cette(2) cérémonie(4) d' ouverture sur son contenu sandra 
BFMTV_BFMStory_2012-07-27_175800 1470.1 1553.436 Sandra_BOULANGER  269 64 83.336 68.5599999999968 11.2159999999988 0.192192192192192 0.134587693193803 face à l' est et qui a eu une communication très(2) habile sur cette cérémonie(2) c' est(3) à dire qu' il y(5) a encore beaucoup de ministères beaucoup de secrets mais il y(5) a eu assez de(2) lait pour tony(2) et en en(2) haleine les futures quatre milliards de(2) téléspectateurs(7) il y(5) a eu quelques(2) petites filles par exemple des spectateurs(3) qui ont assisté à la répétition(4) lundi dernier(2) l' un d' entre(2) notamment suite et je(2) ne peut rien vous dire mais(2) si vous avez quelque(2) chose d' un bus(3) ce(2) soir est bien annulée puisque(2) à la cérémonie(3) est(3) extraordinaire(5) lorsque(2) l' on sait(2) que(2) cette cérémonie(3) parle(2) aux réalisateurs Danny_Boyle eh bien c' est qu' elle commencera(2) par une scène pas de(2) quoi il y avait des(2) animaux vivants censé représenter(4) la grande-bretagne près industrie trial fait ils ont ensuite plus(3) la mise en scène historique comme ça pour raconter toute l' histoire du royaume-uni et puis à il y(5) aura une sorte de(2) narration rythmée par des chansons à on sait que les belles et bonnes fictions des films très afrique mais dont(2) on s' attend à un tempo très(2) enlevé(2) avec(2) eux des chansons modernes(3) des chansons typiques de(2) la culture(2) britannique on verra aussi des personnels de(2) la c' est ainsi qu' un français qui sont dans les rues qui sont pas très joyeux et donc des personnages comme(2) harry potter james bond mamdouh(2) marie pour qu' il y(5) aura ensuite la div athlètes et et ensuite toujours ça paul(2) les parieurs en grande-bretagne six(3) sera le(2) dernier de porter la flamme olympique 
BFMTV_BFMStory_2012-07-27_175800 1553.44 1566.929 Olivier_TRUCHOT  33 15 13.489 11.29 1.98999999999978 0.3125 0.147527615093764 merci Sandra_Boulanger en direct de(2) londres(2) un dernier mot avec vous fabienne(2) boukaré pour savoir si dans les(2) instances sportives ce(2) qui dirige la fédération(3) les(2) entraîneurs(2) y(4) a maintenant(3) plus(3) de(2) femmes(2) 
BFMTV_BFMStory_2012-07-27_175800 1566.93 1584.971 Fabienne_BROUCARET  75 12 18.041 16.3199999999995 1.69999999999982 0.137931034482759 0.0942298098774912 non pour l' exemple(4) sur toutes les fédérations(4) olympiques en france c' est(3) à dire trente-et-une fédération y(4) a qu' une femme(2) présidente(3) et pour le(2) comité qui organisaient les jeux de(2) londres il y(5) avait une seule femme c' était la princesse anne(2) donc on(2) en(2) est encore loin à tel point qu' on parle de(2) quotas donc pour les fédérations(4) un voilà dans les(2) instances par ce type(2) qui le plus(3) de(2) femmes(2) 
BFMTV_BFMStory_2012-07-27_175800 1584.97 1598.135 Olivier_TRUCHOT  39 7 13.165 12.3699999999999 0.784999999999854 0.152173913043478 0.0596278009874557 merci fabienne car le(2) sport féminin(2) le(2) sport derniers bastions du sexisme(4) chez michalon trois fernand point maintenant(3) sur la route(2) gros départs(2) en vacances(2) aujourd'hui c' est classée orange le(2) point depuis le(2) pc de(2) rené sous bois 
BFMTV_BFMStory_2012-07-27_175800 1619.48 1624.4 Olivier_TRUCHOT  15 4 4.92 3.96000000000049 0.749999999999773 0.210526315789474 0.152439024390198 maxime conclut la ouais qu' est(3) -il avec(2) nous pour les(2) infos trafic hein oui 
BFMTV_BFMStory_2012-07-27_175800 1625.38 1626.507 Maxime_POULLAOUEC  0 1 1.127 0 0.900000000000091 1 0.798580301685972 
BFMTV_BFMStory_2012-07-27_175800 1627.11 1629.435 Maxime_POULLAOUEC  2 4 2.325 0.200000000000045 1.82999999999993 0.666666666666667 0.787096774193517 c' est 
BFMTV_BFMStory_2012-07-27_175800 1627.93 1629.428 Olivier_TRUCHOT  2 2 1.498 0.200000000000045 0.8599999999999 0.5 0.574098798397797 c' est 
BFMTV_BFMStory_2012-07-27_175800 1631.65 1632.335 Maxime_POULLAOUEC  1 0 0.685 0.119999999999891 0 0 0 la 
BFMTV_BFMStory_2012-07-27_175800 1635.9 1650.639 Olivier_TRUCHOT  58 10 14.739 12.6999999999991 1.76999999999998 0.147058823529412 0.120089558314674 maximisé dans un(2) petit(3) souci et nous(2) entend pas qu' on fera(2) le(2) point trafic bien(2) entendu dans dans quelques(2) minutes c' est(3) important et beaucoup de départs en vacances(2) ce(2) soir c' est d' ailleurs l' un des week-ends les plus chargées de(2) l' été(2) qui commence(2) ce(2) soir donc prudence sur les routes à fond(2) bombe 
BFMTV_BFMStory_2012-07-27_175800 1663.36 1693.084 Olivier_TRUCHOT  90 14 29.724 25.8399999999992 2.7800000000002 0.134615384615385 0.0935271161351164 allait hélas(3) suivre(2) dans des femmes(4) touristes(2) spéciale(4) aux jeux(2) olympiques nous(2) ferons(3) avec un un(2) ancien(2) médaillé d' or brahim asloum le(2) boxeur qui sera(2) avec(2) nous depuis londres(2) c' est notre(2) consultant vox pour ces(2) olympiades et puis les chiffres les performances(2) des records les petites(4) histoires des grandes(4) histoires des jeux(2) olympiques début(2) également(7) les légions(2) et l' argent de ce qu' on(2) annonce entre(2) douze et quinze milliards d' euros de(2) budget pour ces jeux de(2) londres tout cela(2) dans la deuxième partie de(2) bfm cerise 
BFMTV_BFMStory_2012-07-27_175800 1913.71 1937.723 Olivier_TRUCHOT  83 19 24.013 21.8 2.08999999999946 0.186274509803922 0.0870361887310816 la suède(4) bfm story dix-huit(2) heures trente ce(2) qu' il faut se(2) soit retenir(2) dans l' actualité attention tout d' abord aux(2) orages que ce(2) soit et cette nuit quelque(4) quarante trois départements dans le(2) nord de(2) la france et le(2) long d' une(2) ligne(2) entre(2) lille et montpellier(2) sont placés sous vigilance orange par météo france(2) des(2) orages accompagnés parfois de(2) fortes(4) averses(2) de(2) la grêle et même des rafales de(2) vent atteignant(2) ou dépassant(2) quatre-vingts à cent kilomètres(2) à l' écoute 
BFMTV_BFMStory_2012-07-27_175800 1938.63 1984.031 Frederic_NATHAN  148 42 45.401 38.6500000000001 6.64099999999917 0.221052631578947 0.146274311138503 si actuellement(3) on(2) encore de(2) nombreux départements en vigilance orange(2) de(2) nombreux(2) orages(2) se(2) déclencheront sur le(2) pays en particulier sur sur la picardie le(2) nord sur l' ile de(2) france sur le(2) nord est(2) du côté de(2) du côté de la lorraine(2) un ces gens(2) sont parfois fort parfois compagnie durrell permet(3) aussi de(2) violentes rafales de(2) vent et et des pluies intenses ont peu de(2) temps et puis en cours de(2) nuit on(2) a une nouvelle(3) salve orageuses qui va remonter des pyrénées qui est(2) dirigée aussi vers le(2) le(2) massif central des(2) orages qui ont circulé rapidement(3) et qui pourront être(2) forts aussi c' est difficile à des données(2) et les quantités d' eau qui vont tomber mais il peut y(5) avoir des quantités d' eau qui vont de(2) deux fois quarante millimètres ont peu de(2) temps de(2) faire(3) un tant soit peu de temps 
BFMTV_BFMStory_2012-07-27_175800 1984.03 2004.571 Olivier_TRUCHOT  70 12 20.541 18.6999999999982 1.49000000000001 0.146341463414634 0.0725378511270147 donc prudence(2) soit surtout si vous prenez le(2) volant commence l' un des week-ends(3) et plus chargé de(2) l' été(2) bison futé vous le voyez voilà ce ce(2) soir la soirée qu' orange mais la journée la plus difficile sera celle de(2) demain samedi rouge dans le(2) sens(2) des départs rouge également(3) dans le sens(2) des retours pour la partie sud du pays(3) et partez plutôt dimanche si vous pouvez(2) 
BFMTV_BFMStory_2012-07-27_175800 2009.08 2020.374 Olivier_TRUCHOT  36 6 11.294 10.1299999999992 1.16400000000021 0.142857142857143 0.10306357357891 alors nous partons maintenant(3) à lacanau en gironde puisque(2) certains campeurs ont décidé(2) d' anticiper les bouchons opération pliage de(2) tant(2) que vous voyez dès(2) aujourd'hui pour pour apprendre ensuite la route(2) avant tous les(2) autres 
BFMTV_BFMStory_2012-07-27_175800 2048.89 2079.813 Olivier_TRUCHOT  96 17 30.923 28.4299999999994 2.28999999999996 0.150442477876106 0.0740549105843535 les jeux(2) olympiques à londres à trois(2) heures trente maintenant(3) de(2) la cérémonie(4) d' ouverture à cent vingt chefs d' états(3) et de(2) gouvernement attendus ce(2) soir dans la capitale britannique il est accueilli par la reine elizabeth deux qui sera tout(2) à l' heure dans les tribunes pour déclarer ouvert ces vingt septième jeux(2) olympiques la france(2) soir sera représenté(3) par le(2) premier ministre(2) Jean-Marc_Ayrault François_Hollande viendra dans les(2) affaires d' un peu plus tard le(2) trente juillet Jean-Marc_Ayrault que(2) chris objet cubis(3) inné pour bfm tv a rencontré au bord de l' été écouté 
BFMTV_BFMStory_2012-07-27_175800 2080.55 2087.924 Jean-Marc_AYRAULT  29 5 7.374 6.44000000000096 0.920000000000073 0.147058823529412 0.124762679685391 moi je(2) souhaite qu' il assure qu' il fasse mieux qu'à pékin même si à pékin quarante médailles c' était bien mais je(2) souhaitais davantage de(2) médailles d' or 
BFMTV_BFMStory_2012-07-27_175800 2087.93 2088.757 Christophe_JAKUBYSZYN  5 0 0.827 0.640000000000327 0 0 0 de la ville sainte(2) du 
BFMTV_BFMStory_2012-07-27_175800 2088.76 2110.576 Jean-Marc_AYRAULT  67 24 21.816 16.2599999999998 5.44000000000005 0.263736263736264 0.249358269160252 parole mangé mais le(2) travail qui a été fait formidable en est une superbe préparation je(2) sais l' effort(2) que(2) sa demande(3) de(2) individuelles(2) aussi collectif(2) contre(2) le soutien technique je ne pense pas tout ce que(2) fait le(2) mouvement(2) sportif français le mouvement(2) olympique et sportif français et donc je(2) suis très confiant à un moment où ces jeux sont(2) en vont être ouverts à londres 
BFMTV_BFMStory_2012-07-27_175800 2110.57 2126.764 Olivier_TRUCHOT  48 12 16.194 14.8099999999999 1.23000000000002 0.2 0.0759540570581708 a la cérémonie(4) d' ouverture doit donc débuter(2) à vingt deux(2) heures heure française dans le(2) stade olympique où défileront les milliers d' athlètes(2) engager une cérémonie(4) qui rendra hommage(2) à la culture(2) et à l' identité britannique orchestrée(2) par leur les(2) acteurs de(2) sam de(2) millionnaire Danny_Boyle 
BFMTV_BFMStory_2012-07-27_175800 2127.7 2132.159 Danny_BOYLE  17 1 4.459 4.32900000000018 0.0399999999999636 0.0555555555555556 0.00897062121551102 et se précise(3) que ce(2) sera un spectacle(4) en live donc tout repose sur les(2) acteurs c' 
BFMTV_BFMStory_2012-07-27_175800 2132.55 2134.936 Danny_BOYLE  11 0 2.386 2.38600000000042 0 0 0 c' est c' est là dans le(2) cas présent(3) les volontaires 
BFMTV_BFMStory_2012-07-27_175800 2135.37 2140.882 Danny_BOYLE  17 5 5.512 4.84999999999991 0.662000000000717 0.227272727272727 0.120101596516821 oui il y(5) a de(2) quoi se(2) sentir nerveux pour pour vraiment y terminer(2) moi peu importe 
BFMTV_BFMStory_2012-07-27_175800 2141.68 2146.019 Danny_BOYLE  16 2 4.339 3.99000000000024 0.248999999999796 0.111111111111111 0.0573864945839586 mais l' exception(3) que(2) je(2) ressens c' est évidemment(4) j' imagine que(2) c' est pareil pour 
BFMTV_BFMStory_2012-07-27_175800 2146.83 2160.098 Danny_BOYLE  46 15 13.268 10.3300000000004 2.77999999999975 0.245901639344262 0.209526680735585 je(2) suis impatient vraiment voilà notre de zahra près arrivera(2) ce(2) qui arrivera(2) parce que(2) c' est du live et de l' aube(2) et c' est une fois seulement(3) je(2) le(2) referai jamais c' est extraordinaire(5) de(2) vivre(2) sa à ces(2) ex journée ce même(3) port 
BFMTV_BFMStory_2012-07-27_175800 2160.1 2238.797 Olivier_TRUCHOT  241 66 78.697 69.5899999999988 9.02700000000141 0.214983713355049 0.114705770232682 dans l' actualité également(8) quatre(2) joueurs de(2) l'équipe de(2) france de(2) football convoqué aujourd'hui devant la commission de(2) discipline de(2) la fédération après leur mauvais comportement pendant l' euro Samir_Nasri et comme de(2) la peine la plus lourde(2) pour insultes(2) à la presse trois matchs de(2) suspension Jérémy_Menez(2) à payer une insulte à à l' arbitre(2) d' un match du sport de(2) suspension tandis que(2) athènes ben arfa et il y(5) a un(2) n villas sont simplement rappeler(3) à l' ordre françois hollande en défenseur du plan de soutien à l' automobile(2) présenté cette semaine par le(2) gouvernement lors d' une visite(2) chez l' équipementier(2) valeo dans les(2) yvelines(2) le(2) président(2) la république a voulu affirmer sa confiance dans les(2) entreprises(2) innovantes dans ce(2) secteur(2) la crise dans la zone euro françois hollande et la chancelière merkel ont ont(2) eu un(2) entretien téléphonique aujourd'hui sur la situation de(2) l' espagne avec la volonté de(2) rassurer les marchés le(2) chef du gouvernement est(3) dalia Mario_Monti sera d' ailleurs à paris(2) mardi prochain pour un déjeuner de travail avec françois hollande dans le(2) drame familial en savoie les(2) enquêteurs(3) aujourd'hui ont(2) étudié(2) le(2) passé psychiatrique et du fils(3) qui a battu hier son père et son frère de(2) huit(2) ans près de(2) courchevel il est également(7) soupçonné d' avoir grièvement blessé(2) son deuxième frère de(2) dix-sept ans dont le(2) pronostic vital est toujours engagé ce(2) soir des troubles(2) psychiatriques confirmée par les proches 
BFMTV_BFMStory_2012-07-27_175800 2256.63 2270.252 Christian_SEIGLE-FERRAND  32 12 13.622 8.67000000000007 3.37000000000035 0.272727272727273 0.247393921597441 une famille était(4) originaire(3) de la commune de sa défaite(7) de nombreuses années et qui sont absolument sans(2) histoire et qui qui participe(2) a toutes les(2) activités de la commune sans problème 
BFMTV_BFMStory_2012-07-27_175800 2270.25 2311.701 Olivier_TRUCHOT  116 36 41.451 35.6200000000013 5.69100000000026 0.236842105263158 0.137294637041332 s' opposant au régime de(2) bachar al assad affirme avoir capturé une(2) centaine de(2) soldats et des miliciens pro-régime pendant les combats en bref la situation en série(2) les combats se(2) sont poursuivies aujourd'hui alep la deuxième ville du pays(3) les(2) la météo(3) demain matin les(2) orages vont se(2) décaler davantage(2) à lester(2) concerneront les régions allant du limousin et de(2) l' auvergne(3) et jusqu' au nord-est toujours du soleil dans le(2) sud-est et retour progressivement(2) des(2) éclaircies(2) entre la bretagne et la normandie les températures demain matin seront(2) en baisse(2) de treize(2) à brest(2) dix-huit(2) à biarritz dix-neuf à paris et grenoble(2) vingt(2) et un perpignan à lyon et vingt(2) deux degrés à nice à 
BFMTV_BFMStory_2012-07-27_175800 2318.59 2329.386 Olivier_TRUCHOT  27 1 10.796 10.3200000000011 0.380000000000109 0.0357142857142857 0.0351982215635522 bfm stories(2) spécial jeux(2) olympiques(2) jusqu'à dix-neuf heures j' accueille(2) mes(2) invités gérard schaller journaliste auteur de(2) petites(4) histoires du cent mètres et autres(2) disciplines olympiques bonsoir 
BFMTV_BFMStory_2012-07-27_175800 2329.38 2329.996 Gerard_SCHALLER  1 2 0.616 0.155999999999949 0.449999999999818 0.666666666666667 0.730519480519185 aux(2) 
BFMTV_BFMStory_2012-07-27_175800 2330 2358.157 Olivier_TRUCHOT  97 21 28.157 25.4100000000012 2.72700000000077 0.177966101694915 0.0968498064424751 éditions(3) du goût et compagnie et puis avec volvo avec(2) nous virgile caillet bonsoir vous(2) êtes ce(2) directeur de(2) comparses porte institut d' études(5) sur le(2) sport business comparant l' argent parce qu' il y(5) a beaucoup d' argent engagé dans ces je(2) à londres(2) mais tout de suite justement repartons à londres ont retrouvé par notre(2) consultant box c' est(3) un médaillé(2) d' or messieurs(2) brahim asloum un(2) bonsoir païennes(6) merci d' être en direct ce(2) soir bfm story quel est l' ambiance à à moi maintenant(3) de(2) trois(2) heures trente(2) de(2) la cérémonie(4) d' ouverture 
BFMTV_BFMStory_2012-07-27_175800 2358.96 2372.39 Brahim_ASLOUM  41 10 13.43 11.0699999999997 2.30000000000018 0.196078431372549 0.171258376768442 écoutez(3) l' ambiance est(3) très bonne à tout le moins latence Jean_Roatta attend avec impatience(2) l' ouverture des jeux(2) olympiques nous sommes actuellement(3) que la france donc une ambiance assez particulière(3) assez intense donc on attend vraiment que(2) les jeux commencent 
