;;Spk nbSessionREPERE dureeSessionREPERE nbSessionAutre dureeAutre
Melissa_COLLADO 0 0 17 683.94
Melissa_THEURIAU 0 0 2 192.62
Michael_BLOOMBERG 0 0 9 1814.47
Michel-Edouard_LECLERC 0 0 7 675.47
Michel_BARNIER 0 0 7 734.16
Michel_CREPU 1 453.87 0 0
Michel_FOURGOUS 0 0 8 669.05
Michel_HAZANAVICIUS 0 0 5 1521.34
Michel_ISSINDOU 0 0 4 557.78
Michel_LEJOYEUX 0 0 2 293.14
Michel_LIEBGOTT 0 0 6 1574.31
Michel_MERCIER 2 124.91 0 0
Michel_PIRON 1 226.11 3 467
Michel_ROCARD 0 0 4 1848.12
Michel_SAPIN 7 710.67 0 0
Michel_TAUBMANN 0 0 5 1456.97
Michel_VAUZELLE 2 97.24 5 610.99
Michele_ALLIOT-MARIE 0 0 10 681.19
Michele_COTTA 0 0 7 684.81
Michele_RIVASI 0 0 6 603.13
Michele_TABAROT 0 0 4 2066.18
Mick_JAGGER 0 0 9 2227.44
Milan_POYET 0 0 4 248.92
Mitt_ROMNEY 0 0 3 1058.11
Morgane_MERTEUIL 1 187.37 0 0
Muriel_ROBIN 0 0 6 106.71
Myriam_ENCAOUA 3 397.32 0 0
Nadine_MORANO 1 116.91 5 556.02
Nafissatou_DIALLO 0 0 3 96.22
Najat_VALLAUD-BELKACEM 0 0 6 668.22
Natacha_POLONY 0 0 4 676.18
Natacha_RIOS 0 0 18 682.94
Nathalie_ARTHAUD 0 0 10 679.78
Nathalie_KOSCIUSKO-MORIZET 3 228.24 7 474.47
Nicolas_ALFONSI 0 0 1 315.7
Nicolas_BOUZOU 1 266.43 0 0
Nicolas_DEMORAND 0 0 11 719.34
Nicolas_DE_LABAREYRE 0 0 18 669.73
Nicolas_DOZE 0 0 19 684
Nicolas_DUPONT-AIGNAN 2 387.38 5 294.55
Nicolas_HULOT 0 0 7 662.36
Nicolas_JAMAIN 1 74.42 16 587.28
Nicolas_PERRUCHOT 2 322.6 4 402.52
Nicolas_SARKOZY 5 265.35 3 417.72
Nicole_AMELINE 1 64.05 7 655.05
Nicole_NOTAT 0 0 8 670.89
Nikola_KARABATIC 0 0 3 261.85
Nina_MONTANE 0 0 6 378.15
Noel_MAMERE 1 258.27 7 447.59
Nolwenn_LEROY 0 0 5 238.18
Olivier_BESANCENOT 0 0 11 716.42
Olivier_DUSSOPT 2 196.48 5 492.22
Olivier_FALORNI 0 0 4 403.89
Olivier_FAURE 1 212.61 0 0
Olivier_FERRAND 2 618.9 1 66.13
Olivier_GIROUD 0 0 7 86.45
Olivier_MAZEROLLE 4 735.74 0 0
Olivier_METZNER 1 273.8 0 0
Olivier_MOIZAN 0 0 12 665.81
Olivier_PASTRE 1 298.78 0 0
Olivier_TRUCHOT 8 704.87 0 0
Pascal_BONIFACE 0 0 7 2685.38
Pascal_LEGITIMUS 0 0 3 75.43
Pascal_PERRI 3 668.64 0 0
Pascal_PERRINEAU 1 327.06 5 362.57
Pascal_SCHMITT 1 201.06 0 0
Pascale_DE_LA_TOUR_DU_PIN 24 410.38 0 0
Patrice_CANAYER 0 0 4 1169.7
Patrice_GOURRIER 1 160.81 0 0
Patricia_ADAM 0 0 3 854.05
Patrick_BALKANY 0 0 6 680.42
Patrick_BAUDOUIN 0 0 2 227.43
Patrick_BERCHE 1 149.34 0 0
Patrick_BLOCHE 0 0 3 878.51
Patrick_BRUEL 0 0 2 284.84
Patrick_DEVEDJIAN 0 0 9 713.96
Patrick_DEVILLE 0 0 1 706.94
Patrick_DE_CAROLIS 0 0 9 687.46
Patrick_EVENO 1 245.37 0 0
Patrick_HERMANSEN 0 0 18 686
Patrick_KLUGMAN 0 0 3 887.6
Patrick_LE_LAY 0 0 2 660.77
Patrick_MENNUCCI 1 174.9 0 0
Patrick_OLLIER 0 0 9 708.22
Patrick_PELLOUX 0 0 1 488.58
Paul-Marie_COUTEAUX 0 0 1 156.67
Paul_RYAN 0 0 4 154.14
Pauline_REVENAZ 0 0 8 554.26
Perico_LEGASSE 0 0 4 705.39
Perrine_BAGLAN 0 0 4 175.17
Peter_JACKSON 0 0 4 469.21
Philippe_BAS 1 554.35 0 0
Philippe_DE_VILLIERS 0 0 8 692.39
Philippe_DOUCET 0 0 4 613.5
Philippe_DOUSTE-BLAZY 0 0 10 699.83
Philippe_DUFREIGNE 10 673.37 0 0
Philippe_HOUILLON 1 153.24 5 510.04
Philippe_JUVIN 1 132.14 0 0
Philippe_MARTIN 0 0 4 395.29
Philippe_MOREAU-DEFARGES 0 0 2 242.91
Philippe_PELLETIER 0 0 3 904.73
Philippe_PLISSON 1 110.5 2 499.68
Philippe_POUTOU 0 0 10 666.79
Philippe_SALVADOR 4 269.95 0 0
Philippe_SEGUIN 0 0 2 729.3
Philippe_VANDEL 0 0 6 1273
Philippe_VARIN 0 0 4 115.18
Pierre-Alain_MUET 2 168.48 8 533.3
Pierre-Marie_VIDAL 0 0 2 641.43
Pierre_BERGE 0 0 9 688.91
Pierre_CHAPPARD 1 267.73 0 0
Pierre_CHARON 0 0 4 664.11
Pierre_DUKAN 0 0 5 677.07
Pierre_LANG 0 0 1 213.72
Pierre_LASCAR 4 177.49 0 0
Pierre_LAURENT 1 411.65 0 0
Pierre_LEAUTEY 0 0 2 495.78
Pierre_LELLOUCHE 2 707.48 0 0
Pierre_LEQUILLER 1 199.98 7 489.84
Pierre_MEHAIGNERIE 0 0 5 702.32
Pierre_MOSCOVICI 1 108.13 5 572.61
Pierre_MURAT 1 562.66 0 0
Pierre_SALVIAC 1 131.59 0 0
Pierrick_TAISNE 0 0 6 213.47
Rachid_M_BARKI 3 498.45 0 0
Rachida_DATI 0 0 10 729.41
Rahabi_KA 0 0 7 309.47
Rama_YADE 0 0 10 683.46
Randa_KASSIS 1 221.57 0 0
Raymond_DOMENECH 0 0 5 640.45
Razzy_HAMMADI 1 277.8 0 0
Remi_PERROT 0 0 11 431.34
Remy_PFLIMLIN 0 0 7 679.4
Renaud_MUSELIER 1 71.34 6 654.74
Rene_CAGNAT 0 0 4 320.03
Rene_DOSIERE 1 164.55 0 0
Rene_GIRARD 0 0 5 929.71
Richard_GERE 0 0 3 505.74
Richard_MALKA 0 0 2 79.88
Robert_BOURGI 1 43.64 8 655.89
Robert_GUEDIGUIAN 0 0 1 686
Robert_HUE 0 0 7 703.82
Robert_ROCHEFORT 1 222.2 0 0
Rodolphe_MASSE 0 0 4 260.13
Roger_MOORE 0 0 6 403.73
Roger_WATERS 0 0 7 703.38
Roland_CAYROL 0 0 3 686.64
Roland_COUTANCEAU 1 186.13 0 0
Roland_MUZEAU 2 676.55 0 0
Roland_SICARD 0 0 10 697.94
Rolland_COURBIS 1 148.15 10 541.9
Romain_GUBERT 9 728.09 0 0
Romain_HARY 0 0 7 481.72
Ronald_GUINTRANGE 0 0 3 190.91
Roselyne_BACHELOT 5 540.24 2 138.93
Ruth_ELKRIEF 2 289.85 0 0
Rym_BEN_AMEUR 0 0 16 671.88
Samantha_DAVIES 0 0 3 127.1
Samantha_SZWEC 0 0 8 389.01
Samuel_OLLIVIER 0 0 8 521.93
Sandra_BOULANGER 1 36.6 15 630.69
Sandra_GANDOIN 0 0 17 683.64
Sandra_LARUE 0 0 7 662.73
Sandrine_MAZETIER 1 243.68 0 0
Sarah-Lou_COHEN 0 0 8 423.88
Sebastien_CHABAL 0 0 1 381.31
Sebastien_COUASNON 0 0 4 458.51
Sebastien_LOEB 0 0 5 115.38
Segolene_ROYAL 1 36.56 10 672.72
Serge_DASSAULT 0 0 6 718.92
Serge_GODARD 0 0 5 701.19
Serge_LAMA 0 0 2 130.42
Serge_LEPELTIER 0 0 6 718.65
Serge_LETCHIMY 0 0 6 678.52
Serge_MOATI 0 0 3 695.44
Serge_TISSERON 0 0 7 721.87
Silvain_VANOT 0 0 2 73.35
Sophie_AVON 1 535.1 2 144.97
Sophie_BESSIS 0 0 9 184.31
Sophie_HEBRARD 0 0 6 317.22
Stephane_BERN 0 0 5 687.29
Stephane_GATIGNON 0 0 3 437.46
Stephane_GUILLON 0 0 8 670.39
Stephane_LE_FOLL 0 0 10 673.58
Stephane_ROZES 0 0 2 686.21
Sylvain_COURAGE 1 172.23 3 538.6
Tariq_RAMADAN 0 0 6 3222.82
Thibaud_LE_FLOCH 0 0 17 676.48
Thibaut_GIANGRANDE 0 0 17 665.94
Thierry_ARNAUD 4 377.95 1 142.26
Thierry_FREMAUX 0 0 4 3276.4
Thomas_HUGUES 0 0 3 483.9
Thomas_LEGRAND 1 347.71 0 0
Thomas_LEQUERTIER 5 710.92 0 0
Thomas_MISRACHI 2 641 0 0
Thomas_PAULMYER 0 0 17 674.73
Thomas_SOULIE 11 531.43 0 0
Thomas_THEVENOUD 0 0 4 359.58
Thomas_VOECKLER 0 0 8 63.7
Tiffanie_OSSWALT 1 32.95 17 647.29
Timour_AGGIOURI 0 0 3 667.09
Tonie_MARSHALL 0 0 6 2560.29
Tristan_BERTELOOT 0 0 4 694.44
Tugdual_DERVILLE 0 0 5 65.94
Ulrike_GUEROT 1 191.53 0 0
Ulysse_GOSSET 0 0 2 352.78
Valerie_BERANGER 3 145.5 0 0
Valerie_BROCHARD 3 172.77 0 0
Valerie_DEBORD 0 0 3 461.18
Valerie_PECRESSE 7 669.13 0 0
Valerie_ROSSO-DEBORD 2 159.4 3 517.12
Valerie_TRIERWEILER 0 0 3 552.29
Veronique_FEVRE 3 112.23 12 557.99
Veronique_JACQUIER 0 0 3 465.09
Vincent_CHRIQUI 0 0 2 710.35
Vincent_GIRALDO 0 0 8 350.89
Vincent_LINDON 0 0 9 235.22
Vincent_PEILLON 0 0 10 660.52
Vincent_TOURAINE 0 0 5 201.66
Virgile_CAILLET 0 0 2 507.6
Virginie_DUVAL 1 166.19 0 0
Virginie_GOUBIER 1 37.46 10 534.48
Virginie_PHULPIN 2 234.29 0 0
Wilfried_TEMPLIER 0 0 12 664.62
William_BOURDON 1 701.04 0 0
Xavier_BERTRAND 9 654.81 1 75.52
Xavier_DARCOS 0 0 6 666.36
Xavier_GOUYOU-BEAUCHAMPS 0 0 2 582.54
Xavier_MATHIEU 0 0 5 2054.89
Yamina_BENGUIGUI 0 0 10 685.95
Yann-Antony_NOGHES 0 0 1 405.27
Yann_ARTHUS-BERTRAND 0 0 1 251.13
Yann_GALUT 0 0 5 475.45
Yann_WEHRLING 1 350.92 0 0
Yannick_DANIO 1 198.19 0 0
Yannick_JADOT 0 0 4 945.36
Yoann_GOURCUFF 0 0 6 690.29
Yohann_RELAT 7 439 0 0
Youssou_N_DOUR 0 0 8 96.81
Yvan_LACHAUD 3 261.43 7 427.77
Yves_CALVI 0 0 2 400.95
Yves_COCHET 2 711.58 0 0
Yves_COUANT 0 0 18 680.52
Yves_DURAND 1 113.05 3 337.39
Yves_FROMION 1 450.82 0 0
Yves_JEGO 2 698.31 0 0
Yves_MARIGNAC 1 258.16 0 0
Yves_NICOLIN 0 0 9 729.02
Yves_POZZO_DI_BORGO 1 187.44 5 526.9
Yvon_SCORNET 0 0 3 136.89
